Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL/DISTRITO/OO.AA  de ADSCRIPCIÓN (esta casilla sólo se muestra a efectos internos, sin que esté prevista su visualización en el Portal de Datos Abiertos);TIPO DE USO;TIPO VEHICULO;RÉGIMEN JURÍDICO ;ENERGÍA/COMBUSTIBLE
8182;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
6343;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
2771;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2825;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
2035;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;S.G.T. DE SALUD,  SEGURIDAD Y EMERGENCIAS;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
6203;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;RENTING;DIESEL
3894;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8849;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;TODO TERRENO;RENTING;DIESEL
3421;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8773;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
5060;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
8774;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;PROPIEDAD;DIESEL
2278;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
2997;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
6938;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
6184;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
8433;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;PROPIEDAD;DIESEL
4590;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;OFICINA DE LA PRESIDENCIA DEL PLENO;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA
2267;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
4354;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
1279;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;TURISMO;PROPIEDAD;GASOLINA
3722;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2444;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
6966;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
3388;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2520;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3494;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
6017;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
158;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;J.M.D. PUENTE DE VALLECAS;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
1502;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
1337;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;CAMIÓN;PROPIEDAD;DIESEL
3290;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
