Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CLASIFICACIÓN IDAE
1;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINADOR DEL DISTRITO;ADMINISTRATIVO;TURISMO;PROPIEDAD;GASOLINA / GLP;ECO
2;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINACION GENERAL DE LA ALCALDIA;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
3;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
4;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
5;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
6;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE VICEALCALDIA;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
9;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. ATENCION PRIMARIA, INTERVENCION COMUNITARIA Y EMERGENCIA SOCIAL;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO / HÍBRIDO;0 EMISIONES
10;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE ARGANZUELA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
11;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE BARAJAS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
12;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CARABANCHEL;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
13;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE  CARABANCHEL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
14;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE  CENTRO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
15;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CIUDAD LINEAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
16;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CHAMBERI;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
17;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CHAMARTIN;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
18;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE FUENCARRAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
19;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE HORTALEZA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
20;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE HORTALEZA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
21;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE LATINA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
