Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;ETIQUETA MEDIOAMBIENTAL
7500;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING ;GASOLINA/HIBRIDO;ECO
2216;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;C
5227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL ;C
2814;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL ;C
1072;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL ;B
2102;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;B
2017;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;B
2018;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;B
3214;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
8570;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
8561;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
3223;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
8550;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
8568;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
3221;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
8563;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
8554;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;C
3204;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3203;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3225;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3206;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3210;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
306;AREA DE GOBIERNO DE HACIENDA Y PERSONAL ;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
3211;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
3226;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;B
2812;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL ;C
