Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CATEGORIA_ELECTRICO;DISTINTIVO;CLAS_INDUSTRIA;CATEG_HOMOLOGACION_UE
2216;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA;;C;1000;M1
5227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
2814;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
1072;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;TURISMO;RENTING;DIESEL;;B;1046;M1G
3214;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8570;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8561;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3223;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8550;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8568;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3221;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
8563;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
8554;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCION CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL;;C;1043;M1
3204;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3203;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3225;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3206;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3210;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
306;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;BEV;CERO;1000;M1
3211;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3226;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
2812;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;;C;3100;M1
3208;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3217;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3218;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3227;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
3230;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA;;B;600;L5E
